id,system_name,system_type,source_system_id,star_mass,star_spectral_type_size,distance_sol_ly,star_radius,star_luminosity
137,Ross 882,Star,78,0.2,M4 V,19.5083438,,
138,Gliese 783,Multiple,79,,,19.61746662,,
141,82 Eridani,Star,80,0.97,G8 V,19.71112588,,
142,Gliese 1221,White Dwarf,81,0.5,DXP9,19.80327869,,
143,Gliese 338,Multiple,82,,,19.92060099,,
146,Delta Pavonis,Star,83,1.1,G8 IV,19.92303464,,
147,QY Aurigae,Multiple,84,,,19.95961079,,
150,2MASS 0937+293,Star,85,0.03,T6 V,19.97305572,,
151,Gliese 784,Star,86,0.58,M0 V,20.21444065,,
152,HN Librae,Star,87,0.2,M4 V,20.28610524,,
153,EQ Pegasi,Multiple,88,,,20.40030022,,
156,Wolf 562,Star,89,0.3,M3 V,20.66920152,,
157,LHS 2090,Star,90,0.09,M6 V,20.79173838,,
158,LHS 337,Star,91,0.15,M4 V,20.80367394,,
159,Gliese 661,Multiple,92,,,20.86489252,,
162,WD 0552-041,White Dwarf,93,0.5,DZ9,20.90099327,,
163,G 180-060,Star,94,0.1,M5 V,20.90769231,,
164,Wolf 630,Multiple,95a,,,21.04801239,,
168,Wolf 629,Multiple,95b,,,21.04801239,,
171,Gliese 625,Star,96,0.37,M1.5 V,21.29815855,,
172,Gliese 1128,Star,97,0.15,M4 V,21.31068279,,
173,GL Virginis,Star,98,0.12,M4.5 V,21.33158928,,
174,Gliese 892,Star,99,0.81,K3 V,21.33996336,,
175,LHS 3003,Star,100,0.08,M7 V,21.38894354,,
176,Ross 104,Star,101,0.39,M2.5 V,21.8430217,,
177,Ross 775,Multiple,102,,,21.88846387,,
180,G 041-014,Multiple,103,,,22.08858188,,
184,Xi Bootis,Multiple,104,,,22.10205327,,
187,EE Leonis,Star,105,0.2,M4 V,22.16513761,,
188,Ross 671,Star,106,0.55,M1.5 V,22.28325477,,
189,Ross 619,Star,107,0.15,M4 V,22.29391661,,
190,LP 771-095,Multiple,108,,,22.6799249,,
194,Gliese 667 A,Star,109,0.73,K3.5 V,22.29544056,,
195,Gliese 667 B,Star,109,0.65,K5 V,22.29544056,,
196,Gliese 667 C,Star,109,0.38,M2 V,22.29544056,,
197,WD 2359-434 (LHS 1005),White Dwarf,15001,0.5,DA5.9,25.60125588,0.01,0.00011
198,WD 0553+053 (LHS 212),White Dwarf,15002,0.5,DAP9,26.0928,0.01,0.00011
199,WD 1334+039 (Gliese 518),White Dwarf,15003,0.5,DA10,26.86655684,0.01,0.00011
200,WD 0435-088 (LHS 194),White Dwarf,15004,0.5,DQ8,31.00380228,0.01,0.00011
201,WD 0141-675 (LHS 145),White Dwarf,15005,0.5,DA8,31.72762646,0.01,0.00011
202,WD 0912+536 (LHS 262),White Dwarf,15006,0.5,DBH7,33.52106886,0.01,0.00011
203,WD 0245+541 (LHS 1446),White Dwarf,15007,0.5,DA9,33.76397515,0.01,0.00011
204,WD 1202-232 (LP 852-007),White Dwarf,15008,0.5,DA5.8,35.31016563,0.01,0.00011
205,WD 0009+501 (LHS 1038),White Dwarf,15009,0.5,DA7.7,36,0.01,0.00011
206,WD 0548-001 (EG 248),White Dwarf,15010,0.5,DQ7.9,36.11960133,0.01,0.00011
207,WD 0727+482AB (Gliese 275.2),White Dwarf,15011,0.5,DC9+DC+M VI,36.24,0.01,0.00011
208,WD 1953-011 (Gliese 772),White Dwarf,15012,0.5,DA6,37.14806378,0.01,0.00011
209,WD 1917+386 (GR 375),White Dwarf,15013,0.5,DC7.9,38.14736842,0.01,0.00011
210,WD 1345+238 (LHS361),White Dwarf,15014,0.5,DC9,39.34378769,0.01,0.00011
211,WD 1055-072 (LTT 4020),White Dwarf,15015,0.5,DA6,39.63061968,0.01,0.00011
212,WD 0135-052AB (Gliese 64),White Dwarf,15016,0.5,DA7+DA7,40.26666667,0.01,0.00011
213,WD 0659-063 (LHS 1892),White Dwarf,15017,0.5,DA7.8,40.26666667,0.01,0.00011
214,WD 2140+207 (LHS 3703),White Dwarf,15018,0.5,DQ6,40.82102628,0.01,0.00011
215,WD 1820+609 (LP 103-294),White Dwarf,15019,0.5,DA10.5,41.7084399,0.01,0.00011
216,WD 1900+705 (Gliese 742),White Dwarf,15020,0.5,DAP3.2,42.35844156,0.01,0.00011
217,WD 0000-345 (LHS 1008),White Dwarf,15021,0.5,DCP9,43.08586526,0.01,0.00011
218,WD 1121+216 (Gliese 427),White Dwarf,15022,0.5,DA6.6,43.83870967,0.01,0.00011
219,WD 2326+049 (Gliese 895.2),White Dwarf,15023,0.5,DAV4,44.4359673,0.01,0.00011
220,WD 1814+134,White Dwarf,15024,0.5,DA9.5,46.39544808,0.01,0.00011
221,WD 1036-204 (LHS 2293),White Dwarf,15025,0.5,DQ10.2,46.59428571,0.01,0.00011
222,WD 1633+572 (Gliese 630.1B),White Dwarf,15026,0.5,DQ8,47.13294798,0.01,0.00011
223,WD 1444-174 (LHS 378),White Dwarf,15027,0.5,DC9,47.26956522,0.01,0.00011
224,WD 1829+547 (G 227-035),White Dwarf,15028,0.5,DAP8,48.8263473,0.01,0.00011
225,WD 1310-472 (ER 8),White Dwarf,15029,0.5,DC9,49.04661654,0.01,0.00011
226,WD 1633+433 (G 180-063),White Dwarf,15030,0.5,DA7.5,49.26888217,0.01,0.00011
227,WD 0743-336 (Gliese 288B),White Dwarf,15031,0.5,DC9,49.61362945,0.01,0.00011
228,WD 0115+159 (Wolf 1516),White Dwarf,15032,0.5,DQ5,50.25577811,0.01,0.00011
229,WD 0230-144 (LHS 1415),White Dwarf,15033,0.5,DA9,50.9625,0.01,0.00011
230,WD 2138-332 (P3327-2),White Dwarf,15034,0.5,DZ7,50.9625,0.01,0.00011
231,WD 1756+827 (EG 199),White Dwarf,15035,0.5,DA7,51.04225353,0.01,0.00011
232,WD 2154-512 (LTT 8768),White Dwarf,15036,0.5,DQ7,51.77142858,0.01,0.00011
233,WD 2336-079 (GD 1212),White Dwarf,15037,0.5,DAV4.6,52.00255102,0.01,0.00011
234,WD 1626+368 (Gliese 626.2),White Dwarf,15038,0.5,DZ6,52.01913875,0.01,0.00011
235,WD 1223-659 (Gliese 2092),White Dwarf,15039,0.5,DA6.5,53.00828864,0.01,0.00011
236,WD 1019+637 (LP 062-147),White Dwarf,15040,0.5,DA7.4,53.29411765,0.01,0.00011
237,WD 1236-495 (V886 Centauri),White Dwarf,15041,0.5,DA4.2,53.46885246,0.01,0.00011
238,WD 1309+853 (G 256-007),White Dwarf,15042,0.5,DC9,53.80402507,0.01,0.00011
239,WD 2008-600 (SCR 2012-5956),White Dwarf,15043,0.5,DC9.9,53.98212513,0.01,0.00011
240,WD 1257+037 (Gliese 492),White Dwarf,15044,0.5,DA8.7,54.08955224,0.01,0.00011
241,WD 0208+396 (LHS 151),White Dwarf,15045,0.5,DAZ7,54.54180602,0.01,0.00011
242,WD 2054-050 (Gliese 812B),White Dwarf,15046,0.5,DC10.9,54.78918192,0.01,0.00011
243,WD 0322-019 (LHS 1547),White Dwarf,15047,0.5,DZ9+DB,54.81680672,0.01,0.00011
244,WD 2105-820 (EG 142),White Dwarf,15048,0.5,DA4.5,55.65870307,0.01,0.00011
245,WD 2047+372 (EG 261),White Dwarf,15049,0.5,DA3.5,56.36080871,0.01,0.00011
246,WD 2002-110 (LHS 483),White Dwarf,15050,0.5,DC10.5,56.52686309,0.01,0.00011
247,WD 0326-273 (LHS 1549),White Dwarf,15051,0.5,DA7+DA5,56.625,0.01,0.00011
248,WD 0423+120 (G 083-010),White Dwarf,15052,0.5,DC8,56.625,0.01,0.00011
249,WD 1705+030 (G 139-013),White Dwarf,15053,0.5,DZA7.7,57.22105263,0.01,0.00011
250,WD 1043-188 (LHS 290),White Dwarf,15054,0.5,DQ9,57.32161687,0.01,0.00011
251,WD 0433+270 (G 039-027),White Dwarf,15055,0.5,DC8,57.68659356,0.01,0.00011
252,WD 0357+081 (LHS 1617),White Dwarf,15056,0.5,DA9,58.13903743,0.01,0.00011
253,WD 1935+276 (PY Vulpeculae),White Dwarf,15057,0.5,DAV4.1,58.55655296,0.01,0.00011
254,WD 1009-184 (WT 1759),White Dwarf,15058,0.5,DZ7.8,58.71467147,0.01,0.00011
255,WD 0751-252 (SCR 0753-2524),White Dwarf,15059,0.5,DC,59.24795641,0.01,0.00011
256,WD 0747+073AB (LHS 239/240),White Dwarf,15060,0.5,DC9+DC,59.62705667,0.01,0.00011
257,WD 0121-429 (LHS 1243),White Dwarf,15061,0.5,DAH+DC,59.72532504,0.01,0.00011
258,WD 1609+135 (LHS 3163),White Dwarf,15062,0.5,DA5.8,59.84587156,0.01,0.00011
259,WD 0644+025 (G 108-026),White Dwarf,15063,0.5,DA7,60.17712177,0.01,0.00011
260,WD 0415-595,White Dwarf,15064,0.5,DA,60.22156573,0.01,0.00011
261,WD 0657+320 (LHS 1889),White Dwarf,15065,0.5,DA11,60.96448598,0.01,0.00011
262,WD 2211-392,White Dwarf,15066,0.5,DA8.1,60.96448598,0.01,0.00011
263,WD 0341+182 (Wolf 219),White Dwarf,15067,0.5,DQ5,62.00760456,0.01,0.00011
264,WD 2246+223 (LHS 3857),White Dwarf,15068,0.5,DA5,62.12571429,0.01,0.00011
265,WD 0806-661 (LTT 3059),White Dwarf,15069,0.5,DQ4,62.5186889,0.01,0.00011
266,WD 1315-781 (L040-116),White Dwarf,15070,0.5,DC8.8,62.55466053,0.01,0.00011
267,WD 0011-134 (LHS 1044),White Dwarf,15071,0.5,DA8.5,63.57894737,0.01,0.00011
268,WD 2117+539 (G 231-040),White Dwarf,15072,0.5,DA3.3,64.33136095,0.01,0.00011
269,WD 1919+145 (EG 201),White Dwarf,15073,0.5,DAP3.4,64.58613862,0.01,0.00011
270,WD 0213+427 (Gliese 91.3),White Dwarf,15074,0.5,DA9,64.97211155,0.01,0.00011
271,WD 1344+106 (Gliese 1178),White Dwarf,15075,0.5,DA7,65.36272546,0.01,0.00011
272,WD 2048+263 (LHS 3589),White Dwarf,15076,0.5,DA9,65.4939759,0.01,0.00011
273,WD 0419-487 (RR Caeli A),White Dwarf,15077,0.5,DAZ8,65.65217391,0.01,0.00011
274,WD 0511+079 (G 084-041),White Dwarf,15078,0.5,DA8,66.10458046,0.01,0.00011
275,WD 1208+576 (LHS 2522),White Dwarf,15079,0.5,DA58.6,66.69938651,0.01,0.00011
276,WD 0628-020 (LP 600-042),White Dwarf,15080,0.5,DA7.3+dM,66.78132678,0.01,0.00011
277,WD 0856+331 (EG 182),White Dwarf,15081,0.5,DQ5,66.83606558,0.01,0.00011
278,WD 0423+044 (LHS 1670),White Dwarf,15082,0.5,DC9,67.58392043,0.01,0.00011
279,WD 2248+293 (LHS 529),White Dwarf,15083,0.5,DA9.2,68.23430962,0.01,0.00011
280,WD 1639+537 (LP 137-043),White Dwarf,15084,0.5,DCP7,68.81012658,0.01,0.00011
281,WD 2126+734 (Gliese 828.5),White Dwarf,15085,0.5,DA3+DC10,69.24840764,0.01,0.00011
282,WD 0243-026 (LHS 1442),White Dwarf,15086,0.5,DA7.5,69.24840765,0.01,0.00011
283,WD 0101+048 (LTT 10380),White Dwarf,15087,0.5,DA6,69.54371002,0.01,0.00011
284,WD 2347+292 (LHS 4019),White Dwarf,15088,0.5,DA8.6,70.14193549,0.01,0.00011
285,WD 1214+032 (LP 554-063),White Dwarf,15089,0.5,DA,70.44492441,0.01,0.00011
286,WD 0503-174 (LHS 1734),White Dwarf,15090,0.5,DAH9.5,71.52631579,0.01,0.00011
287,WD 0827+328 (EG 249),White Dwarf,15091,0.5,DA6.7,72.64142539,0.01,0.00011
288,WD 2322+137 (LP 522-046),White Dwarf,15092,0.5,DC10.2,72.64142539,0.01,0.00011
289,WD 2011+065 (LHS 3532),White Dwarf,15093,0.5,DC7,72.96644295,0.01,0.00011
290,WD 0618+067 (LHS 1838),White Dwarf,15094,0.5,DA9,73.7918552,0.01,0.00011
291,WD 2040-392 (L495-082),White Dwarf,15095,0.5,DA4.7,73.8252603,0.01,0.00011
292,WD 2351-335 (LTT 9768),White Dwarf,15096,0.5,DA5.5+dM+dM,74.56790124,0.01,0.00011
293,WD 0946+534 (EG 251),White Dwarf,15097,0.5,DQ6,74.97931035,0.01,0.00011
294,WD 0038+555 (LTT 17144),White Dwarf,15098,0.5,DQ5,75.15207373,0.01,0.00011
295,WD 1655+215 (LHS 3254),White Dwarf,15099,0.5,DA5.5,75.85116279,0.01,0.00011
296,WD 1625+093 (G 138-031),White Dwarf,15100,0.5,DA7,76.20560747,0.01,0.00011
297,WD 0029-031 (LHS 1093),White Dwarf,15101,0.5,DA,76.56338028,0.01,0.00011
298,WD 0706+377 (G 087-029),White Dwarf,15102,0.5,DQ8,79.16504854,0.01,0.00011
299,WD 0955+247 (LTT 12661),White Dwarf,15103,0.5,DA6.1,79.74572127,0.01,0.00011
300,WD 1436-781 (LTT 5814),White Dwarf,15104,0.5,DA8,80.41420118,0.01,0.00011
301,WD 1840+042 (EG 225),White Dwarf,15105,0.5,DA5.8,81.13432835,0.01,0.00011
302,WD 2008-799 (SCR 2016-7945),White Dwarf,15106,0.5,DA8.7,81.41787318,0.01,0.00011
303,Gliese 1068,Star,30001,0.5,M4.5 V,22.7415981,,
304,LHS 3746,Star,30002,0.5,M3 V,24.2877355,,
305,Gliese 293 (WD 0752-676),White Dwarf,30003,0.59,DC9,25.83445545,,
306,Gliese 300,Star,30004,0.5,M3.5 V,25.96815287,,
307,Gliese 915 (WD 2359-434),White Dwarf,30005,0.85,DA5,26.61010035,,
308,SCR 1138-7721,Star,30006,0.5,M5 V,26.67539053,,
309,AP Columbae,Star,30007,0.5,M4.5Ve,27.3601208,,
310,Gliese 1276 (WD 2251-070),White Dwarf,30008,0.5,DZ9,27.86263455,,
311,G 089-032 AB,Star,30009,0.5,M4.5 V,27.97255575,,
312,Gliese 1207,Star,30010,0.5,M3.5 V,28.26588093,,
313,SCR 0630-7643 AB,Star,30011,0.5,M5 V,28.57042747,,
314,Gliese 318 (WD 0839-327),White Dwarf,30012,0.5,DA6,28.70368741,,
315,Gliese 1123,Star,30013,0.5,M4.5 V,29.40497656,,
317,Gliese 283,Multiple,30015,,,29.70762365,,
319,Gliese 283 B,Star,30015,0.5,M6 V,29.70762365,,
320,LHS 2206,Star,30017,0.5,M4.5 V,30.09133684,,
321,WT 460,Star,30018,0.5,M5.5 V,30.36588772,,
322,APMPM J0237-5928,Star,30019,0.5,M5 V,31.44620131,,
323,Wolf 227,Star,30020,0.5,M4.5 V,32.11184405,,
324,LHS 1302,Star,30021,0.5,M5 V,32.3635642,,
325,Gliese 1277,Star,30022,0.5,M4 V,33.45917111,,
326,LHS 5156,Star,30023,0.5,M4.5 V,34.27850762,,
327,LHS 3583,Star,30024,0.5,M2.5 V,34.43412162,,
328,SCR 0821-6703 (WD 0821-669),White Dwarf,30025,0.5,DA9.8,34.7385238,,
329,Gliese 1129,Star,30026,0.5,M3.5 V,34.7385238,,
330,Gliese 1050,Star,30027,0.5,M3.5 V,34.79411137,,
331,LHS 2836,Star,30028,0.5,M4 V,35.12384234,,
332,Gliese 438,Star,30029,0.5,M1 V,35.56815703,,
333,LHS 306,Star,30030,0.5,M4.5 V,36.5486329,,
334,Gliese 1025,Star,30031,0.5,M3.5 V,37.19042189,,
335,Gliese 1088,Star,30032,0.5,M3.5 V,37.47673216,,
336,LHS 547,Star,30033,0.5,M4.5 V,37.82442305,,
337,LHS 1050,Star,30034,0.5,M3 V,37.99184624,,
338,LHS 510,Star,30035,0.5,M1.5 V,39.01435407,,
339,ER2,Star,30036,0.5,M V,39.02368988,,
340,LHS 281,Star,30037,0.5,M3.5 V,39.26327194,,
341,LHS 475,Star,30038,0.5,M3 V,39.27745665,,
342,LHS 3413,Star,30040,0.5,M3.5 V,39.6740056,,
343,LHS 512,Star,30041,0.5,M3.5 V,39.76591075,,
344,WT 1827,Star,30042,0.5,M V,40.27163847,,
345,LHS 4009 AB,Star,30043,0.5,M4.5 V,40.78529449,,
346,LHS 3295,Star,30044,0.5,M3 V,40.79549719,,
347,LHS 1777,Star,30045,0.5,M5.5 V,40.91319619,,
348,Gliese 1251,Star,30046,0.5,M4.5 V,41.27562642,,
349,LHS 2520,Star,30047,0.5,M3.5 V,41.85294495,,
350,LHS 176,Star,30048,0.5,M V,41.93905105,,
351,Gliese 1001 A,Star,30049,0.5,M4 V,42.43559719,,
352,Gliese 1158,Star,30050,0.5,M4 V,42.81438698,,
353,LHS 2899,Star,30051,0.5,M3.5 V,43.6860434,,
354,LHS 1955 A,Star,30052,0.5,M4 V,43.86229155,,
355,LHS 272,Star,30053,0.5,M2 V,44.10547667,,
356,Gliese 810,Multiple,30054,,,44.63054187,,
359,LHS 2718,Star,30055,0.5,M3.5 V,44.65498357,,
360,LHS 2010,Star,30056,0.5,M3 V,44.8021978,,
361,LHS 1351,Star,30057,0.5,M2.5 V,45.59765134,,
362,Ross 848,Star,30058,0.5,M4 V,45.60402685,,
363,LHS 2729,Star,30059,0.5,M3.5 V,45.62954673,,
364,LHS 1807,Star,30060,0.5,M3.5 V,45.93802817,,
365,WT 795,Star,30061,0.5,M4 V,46.90924781,,
366,LHS 1491,Star,30062,0.5,M3.5 V,48.47800238,,
367,LHS 2071 AB,Star,30063,0.5,M4 V,48.81903907,,
368,LHS 2106,Star,30064,0.5,M4.5 V,49.246565,,
369,Gliese 1147,Star,30065,0.5,M3 V,49.35835351,,
370,LHS 205,Star,30066,0.5,M3 V,49.90971691,,
371,LHS 1358,Star,30067,0.5,M4 V,49.97089015,,
372,LHS 1767,Star,30068,0.5,M3.5 V,49.97854735,,
373,LHS 2021,Star,30069,0.5,M8 V,51.22663735,,
374,LHS 4058,Star,30070,0.5,M3.5 V,51.65663605,,
375,Gliese 1157,Star,30071,0.5,M4 V,52.25248318,,
376,LHS 4021,Star,30072,0.5,M4 V,52.26085563,,
377,WT 178,Star,30073,0.5,M4.5 V,52.58948726,,
378,LHS 1932,Star,30074,0.5,M3.5 V,52.6744186,,
379,LHS 346,Star,30075,0.5,M3.5 V,52.8194332,,
380,LTT 6933,Star,30076,0.5,M V?,53.37260677,,
381,LHS 3719,Star,30077,0.5,M2 V,54.10749834,,
382,LHS 3167,Star,30078,0.5,M4 V,54.13443983,,
383,Gliese 633,Star,30079,0.5,M3 V,54.84445939,,
384,LHS 2122,Star,30080,0.5,M3.5 V,55.66820276,,
385,WT 562,Star,30081,0.5,M4.5 V,55.82064008,,
386,LHS 3001,Multiple,30082,,,57.05090082,,
389,Gliese 808,Star,30083,0.5,M2.5 V,57.2914105,,
390,LHS 225,Multiple,30084,,,57.31154454,,
393,WT 870,Star,30085,0.5,M4 V,57.71721819,,
394,Gliese 1118,Star,30086,0.5,M3 V,58.04591564,,
395,LHS 1630 AB,Star,30087,0.5,M3.5 V,58.05624778,,
396,LHS 3197,Star,30089,0.5,M4.5 V,59.26948937,,
397,LHS 3909,Star,30090,0.5,M3 V,59.40983607,,
398,LHS 2401,Star,30091,0.5,M3 V,59.87883238,,
399,LHS 3218,Star,30093,0.5,M4 V,60.53452116,,
400,LHS 2328,Star,30094,0.5,M3.5 V,60.5794948,,
401,LHS 3169,Star,30095,0.5,M3.5 V,61.0443571,,
402,LHS 539,Star,30096,0.5,M V?,61.71428571,,
403,LHS 423,Star,30097,0.5,M3 V,63.4676007,,
404,LHS 3738/3789,Multiple,30098,,,63.9905827,,
408,LHS 2335,Star,30100,0.5,M2.5 V,64.52225519,,
409,Gliese 1252,Star,30101,0.5,M2.5 V,64.54779339,,
410,LP 600-043,Star,30102,0.5,M V?,64.81717011,,
411,RR Caeli,Multiple,15077,,,65.65217391,,
414,APMPM J2127-3844,Star,30104,0.5,M V?,66.22538071,,
415,HIP 3856,Star,30105,0.5,M2.5 V,67.08350473,,
416,LHS 3443,Star,30106,0.5,M2 V,67.15256331,,
417,APMPM J0544-4108,Star,30108,0.5,M4 V,67.3745094,,
418,LHS 1582 AB,Star,30109,0.5,M4.5 V,68.67972205,,
419,LHS 3925,Star,30110,0.5,M3.5 V,69.61792956,,
420,LHS 2567/2568,Multiple,30111,,,69.69230769,,
423,LHS 406,Star,30112,0.5,M2 VI,69.79670447,,
424,LHS 1749 A,Star,30113,0.5,M2 V,70.68920676,,
425,LHS 4039,Star,30114,0.5,M4 V,74.92763611,,
426,LHS 4040 (WD 2331-335),White Dwarf,30115,0.5,DA5,74.92763611,,
427,WT 244,Star,30116,0.5,M4.5 V,75.3256351,,
428,LHS 1748,Star,30117,0.5,M2.5 V,75.53496989,,
429,Gliese 1226,Multiple,30118,,,76.87013905,,
432,SCR 0342-6407,Star,30119,0.5,M4 V,78.47930703,,
433,LHS 4016,Star,30120,0.5,M2.5 V,79.06909091,,
434,Gliese 1281,Star,30121,0.5,M2.5 V,79.28050559,,
435,LHS 3484,Star,30122,0.5,M3.5 V,82.25977301,,
436,LHS 1656,Star,30123,0.5,M V,82.76072063,,
437,LHS 3147,Star,30124,0.5,M3.5 V,83.24655436,,
438,WT 135,Star,30125,0.5,M3 VI,83.54508197,,
439,Gliese 762,Star,30126,0.5,M2.5 V,84.23553719,,
440,WT 248,Star,30127,0.5,M3 V,84.8491155,,
441,L 064-040 (WD 0928-713),White Dwarf,30128,0.5,DA5.5,84.8491155,,
442,Gliese 781.3 (WD 2007-219),White Dwarf,30129,0.5,DA6,85.33751962,,
443,LHS 3245 (WD 1647-327),White Dwarf,30130,0.5,DA8.5,87.84271479,,
444,LHS 3836,Star,30131,0.5,M3.5 V,89.55518946,,
445,LHS 440,Star,30132,0.5,M1 VI,89.6043956,,
446,LHS 3740,Star,30133,0.5,M3.5 V,90.75125209,,
447,LHS 3080,Star,30134,0.5,M4 V,91.82432432,,
448,LHS 193,Multiple,30135,,,93.83199079,,
451,LHS 1561,Star,30137,0.5,M3.5 V,95.36842105,,
452,LHS 300 AB,Star,30138,0.5,M0 VI,98.74659401,,
453,SCR 2115-7541,Star,30140,0.5,M3.5 V,98.95631068,,
454,G 266-089,Multiple,30141,0.5,,99.31790499,,
457,SIPS 1529-2907,Star,30143,0.5,M6.5 V,117.2393961,,
458,LHS 158,Star,30144,0.5,M VI,130.7778669,,
459,LHS 323,Star,30145,0.5,M4 V,140.0429369,,
460,LTT 5066,Star,30146,0.5,M3 V,151.0699398,,
461,LHS 284,Star,30147,0.5,M4 V,154.2857143,,
462,LHS 382,Star,30148,0.5,K V?,157.6413726,,
463,LHS 326,Star,30149,0.5,M3 VI,159.9607651,,
464,LHS 164,Star,30150,0.5,M V?,170.2296451,,
465,LHS 318,Star,30151,0.5,M2 VI,173.8592751,,
466,2MASS 1207-3932,Star,30152,0.5,M8 V,176.2074554,,
467,LHS 521,Star,30153,0.5,M0.5 VI,176.6847237,,
468,LHS 3045,Star,30154,0.5,K VI?,191.9717481,,
