id,star_system_id,star_name,star_type,source_system_id,galactic_x,galactic_y,galactic_z,position,star_mass,star_spectral_type_size,distance_sol_ly,star_radius,star_luminosity
32,41,Tau Ceti,Star,19,-3.368632399,0.407596717,-11.41113881,0101000080B29B0F8BF5F20AC0B6345E8A1016DA3FFA213EC980D226C0,0.92,G8.5 V,11.9049531,,
33,42,Gliese 1061,Star,20,-2.250503362,-6.873010323,-9.564240941,0101000080D89F1AE8070102C0ED6B096BF67D1BC08B514930E42023C0,0.11,M5 V,11.99073563,,
34,43,YZ Ceti,Star,21,-2.040071018,1.191913937,-11.88879383,0101000080929EFEC0105200C055FC30591412F33F217921FC0FC727C0,0.13,M4 V,12.12130221,,
35,44,Luyten's Star,Star,22,-10.18108736,-6.447293107,2.205985081,010100008084D6817BB75C24C0382A493407CA19C00DDF9281DBA50140,0.26,M3.5 V,12.25106111,,
38,48,SO 0253+1652,Star,24,-9.448236628,3.389801147,-7.57126754,0101000080364274457FE522C060775210501E0B40F743A65BFA481EC0,0.08,M6.5 V,12.57314676,,
39,49,Kapteyn's Star,Star,25,-3.439663027,-9.730354952,-7.498782373,01010000808CCD910C6E840BC0919F9215F17523C0D36C6FCEC0FE1DC0,0.39,M2 V,12.75706966,,
40,50,AX Microscopii,Star,26,9.195883653,0.62756466,-8.981160109,01010000807AE9B6DC4A64224058695A7B0215E43FEF96289E5AF621C0,0.6,K9 V,12.86931818,,
41,51,DEN 1048-395,Star,27,1.894225052,-12.40185967,3.851465669,010100008092A999EDBE4EFE3F7476F88CC0CD28C0912C903BCDCF0E40,0.07,M8.5 V,13.12356657,,
46,58,Wolf 1061,Star,30,12.7223996,0.745129744,5.588969207,01010000807649415CDE712940223838551AD8E73F0AAA69BE1A5B1640,0.26,M3.5 V,13.91586313,,
47,59,Van Maanen's Star,White Dwarf,31,-3.979719181,6.398763008,-11.81842523,010100008070458D0277D60FC0BDDB7854559819407F24BAA108A327C0,0.5,DZ7,14.01633004,,
48,60,Gliese 1,Star,32,3.30806406,-0.976528834,-13.73469171,0101000080112F364AEA760A404231B465B93FEFBF442F068329782BC0,0.48,M1.5 V,14.16116707,,
51,64,TZ Arietis,Star,34,-8.439562585,5.343537619,-10.52275987,01010000808D3DDE580EE120C0ED335A53C85F1540579F822EA70B25C0,0.14,M4 V,14.50889679,,
52,65,Gliese 687,Star,35,-1.877298656,12.40961502,7.83167849,01010000801D84C5506A09FEBF66B3550FB9D12840BE58AD86A3531F40,0.39,M3 V,14.7938495,,
3,3,Alpha Centauri A,Star,1b,3.125542426,-3.046447234,-0.051769518,0101000080AA712F631C010940432838BA1F5F08C0C6B77AC58881AABF,1.14,G2 V,4.364921109,,
8,9,Sirius A,Star,5,-5.758100216,-6.224771302,-1.326404685,0101000080FD3D4B6C4B0817C067ADBC722AE618C00061751EF438F5BF,1.99,A1 V,8.582706173,,
9,9,Sirius B,White Dwarf,5,-5.758100216,-6.224771302,-1.326404685,0101000080FD3D4B6C4B0817C067ADBC722AE618C00061751EF438F5BF,1,DA2,8.582706173,,
20,24,61 Cygni A,Star,13,1.515850865,11.24052919,-1.155704823,0101000080EC9C2CD6EC40F83F169159A4267B2640DDD42957C47DF2BF,0.7,K5 V,11.40100671,,
21,24,61 Cygni B,Star,13,1.516326148,11.24029398,-1.157367825,0101000080ACACFB34DF42F83F260D03D0077B26401915DD1F9484F2BF,0.63,K7 V,11.40100671,,
10,12,BL Ceti,Star,6,-2.14913079,0.169708533,-8.457417819,01010000805E03CF7B6B3101C04C278B5B02B9C53FE06C1AAB32EA20C0,0.11,M5.5 V,8.72785657,,
11,12,UV Ceti,Star,6,-2.14913079,0.169708533,-8.457417819,01010000805E03CF7B6B3101C04C278B5B02B9C53FE06C1AAB32EA20C0,0.1,M6 V,8.72785657,,
17,20,EZ Aquarii A,Star,12,4.181904005,4.494872067,-9.446576013,010100008018F2210B45BA10402DE03DBEBFFA1140B106769CA5E422C0,0.11,M5 V,11.26632124,,
18,20,EZ Aquarii B,Star,12,4.181904005,4.494872067,-9.446576013,010100008018F2210B45BA10402DE03DBEBFFA1140B106769CA5E422C0,0.11,M V,11.26632124,,
22,27,Procyon A,Star,14,-9.270545425,-6.183195725,2.576611641,010100008033EA10EE848A22C06B91FEA897BB18C001B46490E69C0440,1.57,F5 IV-V,11.43738822,,
23,27,Procyon B,White Dwarf,14,-9.270545425,-6.183195725,2.576611641,010100008033EA10EE848A22C06B91FEA897BB18C001B46490E69C0440,0.5,DQZ,11.43738822,,
24,30,Gliese 725 A,Star,15,0.130175346,10.4781906,4.716197755,0101000080CB61E8F295A9C03F5D82F865D5F4244044C6BCF162DD1240,0.35,M3 V,11.49138569,,
25,30,Gliese 725 B,Star,15,0.130809805,10.47827717,4.715987859,01010000803A4E3C2D60BEC03F9925C7BEE0F42440C6F3DAEB2BDD1240,0.26,M3.5 V,11.49138569,,
26,33,GX Andromedae,Star,16,-4.963328209,9.878370635,-3.687610059,010100008084E0C3B572DA13C0FA2EBECBB9C12340EE71DEB339800DC0,0.49,M1.5 V,11.65398221,,
27,33,GQ Andromedae,Star,16,-4.963328209,9.878370635,-3.687610059,010100008084E0C3B572DA13C0FA2EBECBB9C12340EE71DEB339800DC0,0.16,M3.5 V,11.65398221,,
28,36,Epsilon Indi A,Star,17,7.226377071,-3.188360852,-8.785997744,01010000807E091264CFE71C405B7E9955C38109C0686BDA4B6E9221C0,0.77,K4 V,11.8143949,,
29,36,Epsilon Indi B,Star,17,7.208263587,-3.19112576,-8.799862459,01010000805B73BC0C43D51C4033FC44F16C8709C002687D92879921C0,0.03,T1 V,11.8143949,,
30,36,Epsilon Indi C,Star,17,7.208263587,-3.19112576,-8.799862459,01010000805B73BC0C43D51C4033FC44F16C8709C002687D92879921C0,0.03,T6 V,11.8143949,,
36,45,SCR 1845-635 A,Star,23,10.13069511,-5.496193031,-5.013508096,0101000080ED642E78EA422440AB97A2061AFC15C07534FA10D50D14C0,0.07,M8.5 V,12.56878613,,
37,45,SCR 1845-635 B,Star,23,10.13080477,-5.496820417,-5.012598598,0101000080219FC2D7F84224401600CC7DBEFC15C0B48A99A5E60C14C0,0.03,T6 V,12.56878613,,
42,52,Kruger 60 A,Star,28,-3.333694244,12.71879483,-0.000691504,010100008060BF46E367AB0AC08CC43EE005702940A9A95388C1A846BF,0.28,M3 V,13.14843183,,
43,52,Kruger 60 B,Star,28,-3.333694244,12.71879483,-0.000691504,010100008060BF46E367AB0AC08CC43EE005702940A9A95388C1A846BF,0.16,M4 V,13.14843183,,
44,55,Ross 614 A,Star,29,-11.13431104,-7.21103594,-1.43797614,01010000806095A86AC44426C08E5232CE19D81CC030A7DB44F301F7BF,0.17,M4.5 V,13.34315169,,
45,55,Ross 614 B,Star,29,-11.13431104,-7.21103594,-1.43797614,01010000806095A86AC44426C08E5232CE19D81CC030A7DB44F301F7BF,0.1,M V,13.34315169,,
49,61,Wolf 424 A,Star,33,1.468554149,-4.324286915,13.56333561,010100008004C3A5A2327FF73F6EC879DE114C11C0923E6B866D202B40,0.12,M5 V,14.31154015,,
50,61,Wolf 424 B,Star,33,1.468554149,-4.324286915,13.56333561,010100008004C3A5A2327FF73F6EC879DE114C11C0923E6B866D202B40,0.12,M V,14.31154015,,
53,66,LHS 292,Star,36,-1.741002292,-10.9875067,9.769313975,0101000080AB6A263825DBFBBF6A296A7A9AF925C026F67585E3892340,0.08,M6.5 V,14.80526555,,
56,70,G 208-045,Star,37,2.830197144,14.37297979,2.19145094,010100008069B375663EA40640E73C0035F7BE2C402AB5306E17880140,0.1,M6 V,14.8119891,,
59,73,Ross 780,Star,40,4.733248153,6.05916696,-13.12088589,01010000801AF3939AD8EE1240A1D07843963C18401A3260C1E43D2AC0,0.27,M3.5 V,15.20772136,,
60,74,Gliese 1002,Star,41,-0.249865203,5.798424967,-14.17017584,01010000802B8EA53D95FBCFBFAD4C86509631174019BDA64921572CC0,0.11,M5 V,15.31267606,,
61,75,LHS 288,Star,42,4.86352885,-14.7635316,-0.547896109,0101000080269C27E840741340D4EC269DED862DC04157B86B5D88E1BF,0.11,M5.5 V,15.55364807,,
62,77,Gliese 412 A,Star,43,-7.037811821,1.431496421,14.1389291,01010000808A635A24B8261CC0A79388CA68E7F63FE9EC09B721472C40,0.48,M1 V,15.85841396,,
63,78,WX Ursae Majoris,Star,43,-7.036174484,1.430664806,14.13982816,010100008030EB86EC0A251CC053EE94C700E4F63F0C857C8E97472C40,0.1,M5.5 V,15.85841397,,
64,79,Gliese 380,Star,44,-9.443479377,2.377951161,12.52988697,0101000080B65499BA0FE322C083D71F420B060340FC734D584D0F2940,0.64,K7 V,15.86921617,,
65,80,Gliese 388,Star,45,-7.430934092,-5.490013826,12.99105746,01010000805F7C5FC946B91DC00608352FC6F515C04C5026E26BFB2940,0.39,M2.5 V,15.94134898,,
66,81,Gliese 832,Star,46,10.94521092,-2.0932159,-11.68135115,0101000080B3718AAFF2E32540D7BC4FFAE7BE00C019AFD40EDA5C27C0,0.5,M1.5 V,16.144137,,
67,82,LP 944-020,Star,47,-5.303898441,-8.065282177,-13.0033138,0101000080FF992527313715C010745EAA6C2120C04040AD58B2012AC0,0.07,M9 V,16.19463754,,
68,83,DEN 0255-470,Star,48,-1.376898947,-8.307957375,-13.83569402,01010000807C30B430C707F6BFC05FCC96AC9D20C0BDB92A16E0AB2BC0,0.05,L7.5 V,16.19705021,,
72,88,EV Lacertae,Star,50,-2.950369474,15.75516268,-3.721052903,0101000080E3928F4F5B9A07C0F984CBAEA4822F401F916862B7C40DC0,0.28,M3.5 V,16.45527471,,
73,89,Gliese 682,Star,51,15.86817482,-3.960571976,-1.9024003,0101000080AC38F66881BC2F4027FE325C40AF0FC0D068064C3B70FEBF,0.2,M4 V,16.46524307,,
76,93,Altair,Star,53,11.08893339,12.20545104,-2.585056092,0101000080132563AD882D26405875F3E0306928407BB96BE331AE04C0,1.71,A7 IV-V,16.69191402,,
79,97,G 099-049,Star,55,-15.3069125,-6.995837735,-3.010821317,01010000809A779CA2239D2EC076CA1FE3BCFB1BC0CDEA947C291608C0,0.19,M3.5 V,17.09702784,,
80,98,LHS 1723,Star,56,-13.78962468,-6.854398544,-8.006583507,0101000080CE6DA1AF49942BC08AEBB073E76A1BC01784D6E95E0320C0,0.15,M4 V,17.35632184,,
81,99,2MASS 0939-244,Star,57,-3.694355773,-15.89085535,6.08867808,0101000080249746660A8E0DC0EB6E43311EC82FC067E3356DCE5A1840,0.03,T8 V,17.41377469,,
82,100,Gliese 445,Star,58,-8.236574862,10.99116445,10.71084728,010100008001B11E57207920C0686A23E879FB2540E219B82CF46B2540,0.24,M3.5 V,17.41749439,,
83,101,Wolf 498,Star,59,5.277593832,-0.781627409,16.8316818,0101000080970BB88E411C1540ADFDE97B1703E9BFACAD3319E9D43040,0.53,M1 V,17.65699437,,
86,105,Gliese 251,Star,61,-17.65383204,-0.905582492,4.781390398,010100008081E05C8961A731C0BA0B5F2288FAECBF1146F3CD24201340,0.34,M3 V,18.31227893,,
87,106,2MASS 1835+325,Star,62,8.372501298,15.5144828,5.539613448,01010000804E41797DB8BE204082B5204A6A072F4033917E6D90281640,0.07,M8.5 V,18.47932011,,
88,107,Wolf 1453,Star,63,-15.57982904,-7.915956854,-6.170402618,01010000806424185ADF282FC07FE8F197F0A91FC0E3D91D067EAE18C0,0.57,M1 V,18.53287118,,
89,108,LP 816-060,Star,64,13.32296577,7.742739535,-10.47825823,010100008042C1F7C45BA52A40C21571B690F81E4023C94143DEF424C0,0.19,M3.5 V,18.63451979,,
90,109,2MASS 0415-093,Star,65,-13.40002128,-5.671904556,-11.75875586,0101000080AE9BD696CFCC2AC0AF3678BF07B016C05CB2E8A57B8427C0,0.03,T8 V,18.70827119,,
91,110,Sigma Draconis,Star,66,-3.413561954,17.07815638,6.993025059,01010000801B66DA91F94E0BC0E112780E02143140CB0DA28FDBF81B40,0.89,G9 V,18.76747799,,
94,114,Ross 47,Star,68,-18.23806348,-4.448714107,-3.044534527,0101000080D2F86CBAF13C32C07F46FBB57BCB11C0091008EB345B08C0,0.18,M4 V,19.0180758,,
95,115,Gliese 693,Star,69,16.77094588,-7.712254692,-4.757814713,010100008000968DB55CC530400E40424B59D91EC0EE0C8394000813C0,0.26,M3 V,19.06253653,,
102,124,Gliese 754,Star,72,17.47013503,-2.343251001,-7.811690209,0101000080D28DF2C45A78314003EA7C61FABE02C0BA8DD8B72B3F1FC0,0.16,M4 V,19.28001419,,
103,125,Gliese 588,Star,73,16.81087677,-8.686109664,4.066684082,0101000080723CB89E95CF3040F8B210C4495F21C0466AFDD448441040,0.46,M2.5 V,19.35437931,,
57,76,Gliese 674,Star,38,14.07182451,-4.301175186,-1.74874814,0101000080A100A32EC6242C4066F29844673411C070DA6354DFFAFBBF,0.36,M2.5 V,14.81804552,,
58,76,WD 1142-645,White Dwarf,39,6.611484859,-13.54547191,-0.751881037,0101000080DF9D3D1629721A405EAC1C1848172BC0DCB80CD2680FE8BF,0.5,DQ6,15.09161577,,
69,84,Omicron 2 Eridani A,Star,49,-11.97035429,-4.535784234,-10.01837582,0101000080A62A0A47D2F027C03BF84A9FA42412C0D6DF338E680924C0,0.89,K0.5 V,16.2551707,,
74,90,70 Ophiuchi A,Star,52,14.1467366,8.132557132,3.280424956,0101000080A240440F214B2C4047954587DE432040960478704F3E0A40,0.92,K0 V,16.6442131,,
75,90,70 Ophiuchi B,Star,52,14.1467366,8.132557132,3.280424956,0101000080A240440F214B2C4047954587DE432040960478704F3E0A40,0.7,K5 V,16.6442131,,
77,94,EI Cancri A,Star,54,-12.16307595,-6.345707468,10.13837478,01010000803C07E0B07E5328C0FF2B7423016219C0E461250FD9462440,0.11,M5.5 V,17.0585774,,
78,94,EI Cancri B,Star,54,-12.16320394,-6.345247289,10.13850925,0101000080B7C181778F5328C090265D81886119C011E335AFEA462440,0.1,M V,17.0585774,,
84,102,Stein 2051 A,Star,60,-15.21478676,9.469296437,2.299616211,0101000080ABA0BB87F86D2EC0B216629F47F0224080C51C2F9D650240,0.2,M4 V,18.06780412,,
85,102,Stein 2051 B,White Dwarf,60,-15.21478676,9.469296437,2.299616211,0101000080ABA0BB87F86D2EC0B216629F47F0224080C51C2F9D650240,0.5,DC5,18.06780412,,
92,111,Gliese 229 A,Star,67,-11.77243772,-13.35900956,-5.936824501,01010000809031F3F47C8B27C07E4DDE19D0B72AC0CC8B07EC4EBF17C0,0.56,M1.5 V,18.76963802,,
93,111,Gliese 229 B,Star,67,-11.77243772,-13.35900956,-5.936824501,01010000809031F3F47C8B27C07E4DDE19D0B72AC0CC8B07EC4EBF17C0,0.03,T6 V,18.76963802,,
96,116,Wolf 1055 A,Star,70,14.49475135,12.35653123,-1.092707608,0101000080BFCD870C50FD2C408FB4E9428BB62840CA3407F9BA7BF1BF,0.5,M2.5 V,19.07814694,,
97,116,van Biesbroeck 10,Star,70,14.49677938,12.35357203,-1.099243485,0101000080B4DAECDD59FE2C40BB42A36407B5284035A826568096F1BF,0.07,M8 V,19.07814694,,
98,119,Gliese 570 A,Star,71,14.94432913,-5.964541994,10.3208049,01010000803005941B7FE32D40FF647FE5B0DB17C009CB338A40A42440,0.78,K4 V,19.11616458,,
99,119,Gliese 570 B,Star,71,14.94289509,-5.964884735,10.322683,0101000080CC372E25C3E22D4042F074BE0ADC17C049F3C7B436A52440,0.55,M1.5 V,19.11616457,,
100,119,Gliese 570 C,Star,71,14.94289509,-5.964884735,10.322683,0101000080CC372E25C3E22D4042F074BE0ADC17C049F3C7B436A52440,0.36,M V,19.11616457,,
104,126,Gliese 1005 A,Star,74,0.48955604,4.5950293,-18.81475345,01010000803FFE56DBE254DF3FA8A55E5C4F6112409D0D9EAE93D032C0,0.18,M3.5 V,19.37392337,,
111,136,Gliese 908,Star,77,-0.659233846,10.58618613,-16.25800843,0101000080C68F1F947118E5BF0770A396202C25403BF128D70C4230C0,0.51,M1 V,19.41197476,,
112,137,Ross 882,Star,78,-15.3772083,-11.11327726,4.540045296,01010000803C8F407221C12EC036291E7AFF3926C0EDB652A201291240,0.2,M4 V,19.5083438,,
115,141,82 Eridani,Star,80,-3.62740933,-10.38505706,-16.35606844,01010000803271CC2EEF040DC07B96EF3226C524C010F0204D275B30C0,0.97,G8 V,19.71112588,,
116,142,Gliese 1221,White Dwarf,81,-3.37475211,16.69226286,10.10689149,0101000080BA74C4087EFF0AC078EF872338B130409B8A3B7BBA362440,0.5,DXP9,19.80327869,,
119,146,Delta Pavonis,Star,83,14.53100944,-8.468290559,-10.68012775,0101000080A5552578E00F2D4072DCB7C7C3EF20C042B456B4395C25C0,1.1,G8 IV,19.92303464,,
122,150,2MASS 0937+293,Star,85,-12.82456787,-4.129335231,14.74455847,0101000080FAF685C22DA629C061766D74708410C037388DC4367D2D40,0.03,T6 V,19.97305572,,
123,151,Gliese 784,Star,86,16.88850017,-1.534936327,-11.00209723,0101000080F4A344BF74E330408E84DE64198FF8BF3E865CE3120126C0,0.58,M0 V,20.21444065,,
124,152,HN Librae,Star,87,13.76167292,-5.443020259,13.87501188,0101000080334C33FEF9852B40577B4F1AA7C515C0476CA08E01C02B40,0.2,M4 V,20.28610524,,
127,156,Wolf 562,Star,89,15.74467471,-1.633286165,13.29110552,01010000807137EB00467D2F40BAF27AACF021FABF8F2B60C80B952A40,0.3,M3 V,20.66920152,,
128,157,LHS 2090,Star,90,-14.89090472,-7.038614176,12.68917854,01010000800B81D8A924C82DC0F5537C798A271CC060CF7402DC602940,0.09,M6 V,20.79173838,,
129,158,LHS 337,Star,91,9.532825928,-16.36844311,8.601868941,010100008013715E8FCE102340F4E2A349525E30C07425742A28342140,0.15,M4 V,20.80367394,,
132,162,WD 0552-041,White Dwarf,93,-17.49183827,-10.18892309,-5.20316825,01010000803B92E41CE97D31C0BE04FA86BA6024C09B5775560BD014C0,0.5,DZ9,20.90099327,,
133,163,G 180-060,Star,94,6.497896178,13.78303812,14.31561396,0101000080EB40E57ED8FD1940B8D7595FEA902B40DCB8282798A12C40,0.1,M5 V,20.90769231,,
139,171,Gliese 625,Star,96,1.847599924,15.52120955,14.4668582,0101000080DDC01AF0C48FFD3FCB3967FADB0A2F4026BDB90908EF2C40,0.37,M1.5 V,21.29815855,,
140,172,Gliese 1128,Star,97,6.187274985,-19.90801418,-4.419705928,01010000804EBC7F03C5BF18407D67079E73E833C011CA0A64C7AD11C0,0.15,M4 V,21.31068279,,
141,173,GL Virginis,Star,98,0.667425644,-6.460725958,20.31871709,010100008053BC2F068D5BE53FF31CA88BC8D719C0EE39767197513440,0.12,M4.5 V,21.33158928,,
142,174,Gliese 892,Star,99,-7.251844276,20.03464416,-1.190724212,0101000080506B4477E3011DC088328E70DE083440A386D1D4340DF3BF,0.81,K3 V,21.33996336,,
143,175,LHS 3003,Star,100,17.10102417,-8.3816624,9.735995764,01010000806B4152B8DC193140CA390C4169C320C0C3BFD06FD4782340,0.08,M7 V,21.38894354,,
144,176,Ross 104,Star,101,-7.579513293,-5.592487933,19.70768007,01010000800A21C4EE6B511EC0DF091E28B55E16C055AE64852AB53340,0.39,M2.5 V,21.8430217,,
152,187,EE Leonis,Star,105,-5.82914339,-11.32962385,18.13709007,010100008071FAFEF60A5117C096760F75C4A826C0A041B75518233240,0.2,M4 V,22.16513761,,
153,188,Ross 671,Star,106,0.897748866,17.49069908,-13.77726155,0101000080FBB66FD45BBAEC3FFCC674749E7D31406560D339F58D2BC0,0.55,M1.5 V,22.28325477,,
154,189,Ross 619,Star,107,-17.12876569,-11.60803432,8.299255575,01010000809A65CBC9F62031C0BF7D3E46503727C0968AD70638992040,0.15,M4 V,22.29391661,,
106,129,Eta Cassiopei A,Star,75,-10.41061428,16.26607996,-1.708312166,0101000080BEBDEF083CD224C02C52F6D01D443040454345233F55FBBF,1.11,G3 V,19.38774297,,
108,132,36 Ophiuchi A,Star,76,19.25212183,-0.578465695,2.323316424,01010000802A75660E8B403340CE403C7DCA82E2BFA5B7DAEB26960240,0.85,K1.5 V,19.40042826,,
109,132,36 Ophiuchi B,Star,76,19.25212183,-0.578465695,2.323316424,01010000802A75660E8B403340CE403C7DCA82E2BFA5B7DAEB26960240,0.85,K V,19.40042826,,
113,138,Gliese 783 A,Star,79,16.75860026,1.534957621,-10.0815782,0101000080E66F6BA033C230402F0EEFB82F8FF83F12222A9EC42924C0,0.82,K2.5 V,19.61746662,,
114,138,Gliese 783 B,Star,79,16.75860026,1.534957621,-10.0815782,0101000080E66F6BA033C230402F0EEFB82F8FF83F12222A9EC42924C0,0.19,M4 V,19.61746662,,
117,143,Gliese 338 A,Star,82,-14.14420369,3.807022694,13.5010527,01010000806906E910D5492CC0E7E06E50C8740E401F25C0FA89002B40,0.6,M0 V,19.92060099,,
118,143,Gliese 338 B,Star,82,-14.14306289,3.80693941,13.50227122,01010000807AA4038A3F492CC0A46D3EA69C740E407A3E7FB129012B40,0.6,K7 V,19.92060099,,
120,147,QY Aurigae A,Star,84,-18.76409082,0.342516517,6.795413247,0101000080E612BB749BC332C081B5B665CAEBD53F41AE6ACF802E1B40,0.17,M4.5 V,19.95961079,,
121,147,QY Aurigae B,Star,84,-18.76409082,0.342516517,6.795413247,0101000080E612BB749BC332C081B5B665CAEBD53F41AE6ACF802E1B40,0.16,M V,19.95961079,,
125,153,EQ Pegasi A,Star,88,-2.359371533,15.64524777,-12.8775711,01010000807EC9AA2EFEDF02C011EF6BEA5D4A2F405AD4CCFF50C129C0,0.33,M3.5 V,20.40030022,,
126,153,EQ Pegasi B,Star,88,-2.359371533,15.64524777,-12.8775711,01010000807EC9AA2EFEDF02C011EF6BEA5D4A2F405AD4CCFF50C129C0,0.16,M4.5 V,20.40030022,,
130,159,Gliese 661 A,Star,92,5.404107749,15.99939369,12.25392839,01010000808A0FF86BCE9D1540EDC19C87B0FF2F40E126E5E602822840,0.39,M3 V,20.86489252,,
131,159,Gliese 661 B,Star,92,5.404107749,15.99939369,12.25392839,01010000808A0FF86BCE9D1540EDC19C87B0FF2F40E126E5E602822840,0.33,M V,20.86489252,,
134,164,Wolf 630 A,Star,95a,19.26778534,3.76086751,7.591254795,0101000080F3A57D948D443340C74F80B441160E404383A0E5715D1E40,0.42,M2.5 V,21.04801239,,
135,164,Wolf 630 B,Star,95a,19.26778534,3.76086751,7.591254795,0101000080F3A57D948D443340C74F80B441160E404383A0E5715D1E40,0.33,M V,21.04801239,,
137,168,Wolf 629 A,Star,95b,19.26493797,3.761590921,7.598119797,01010000805E9E8CF9D2433340100115FBBC170E4015D21C8479641E40,0.18,M3 V,21.04801239,,
138,168,van Biesbroeck 8,Star,95b,19.27735467,3.750546511,7.572042216,0101000080FA0A35B700473340A9F976871E010E40009B466FC5491E40,0.08,M7 V,21.04801239,,
145,177,Ross 775 A,Star,102,6.998558072,18.78266247,-8.794124507,01010000805696D90186FE1B40E37450915CC83240C408C57C979621C0,0.26,M3 V,21.88846387,,
146,177,Ross 775 B,Star,102,6.998558072,18.78266247,-8.794124507,01010000805696D90186FE1B40E37450915CC83240C408C57C979621C0,0.26,M V,21.88846387,,
147,180,G 041-014 A,Star,103,-14.28668156,-12.07010887,11.75196372,0101000080ED21E9ECC7922CC0799E4F4FE52328C0645B826301812740,0.18,M3.5 V,22.08858188,,
148,180,G 041-014 B,Star,103,-14.28668156,-12.07010887,11.75196372,0101000080ED21E9ECC7922CC0799E4F4FE52328C0645B826301812740,0.17,M V,22.08858188,,
149,180,G 041-014 C,Star,103,-14.28668156,-12.07010887,11.75196372,0101000080ED21E9ECC7922CC0799E4F4FE52328C0645B826301812740,0.17,M V,22.08858188,,
150,184,Xi Bootis A,Star,104,9.746413095,4.154399616,19.39714294,01010000808BA970DB297E234099F0D4EE1A9E10402523E328AB653340,0.94,G7 V,22.10205327,,
151,184,Xi Bootis B,Star,104,9.746413095,4.154399616,19.39714294,01010000808BA970DB297E234099F0D4EE1A9E10402523E328AB653340,0.67,K4 V,22.10205327,,
155,190,LP 771-095 A,Star,108,-11.23521036,-4.197636003,-19.24912709,0101000080C2C2077E6D7826C0B196A51761CA10C0001900CBC63F33C0,0.25,M2.5 V,22.6799249,,
156,190,LP 771-095 B,Star,108,-11.23520648,-4.196817861,-19.24930775,010100008087D0D6FB6C7826C0010E119F8AC910C0ACE3F8A1D23F33C0,0.19,M3.5 V,22.6799249,,
158,194,Gliese 667 A,Star,109,22.0630227,-3.16275762,0.553771872,0101000080D7677341221036402E99F8DD534D09C00CE9F5C97FB8E13F,0.73,K3.5 V,22.29544056,,
159,195,Gliese 667 B,Star,109,22.0630227,-3.16275762,0.553771872,0101000080D7677341221036402E99F8DD534D09C00CE9F5C97FB8E13F,0.65,K5 V,22.29544056,,
160,196,Gliese 667 C,Star,109,22.0630227,-3.16275762,0.553771872,0101000080D7677341221036402E99F8DD534D09C00CE9F5C97FB8E13F,0.38,M2 V,22.29544056,,
161,197,WD 2359-434 (LHS 1005),White Dwarf,15001,7.294181672,-3.935480593,-24.22253515,0101000080574AD1F53D2D1D404DD2C73FDD7B0FC0E0754710F83838C0,0.5,DA5.9,25.60125588,0.01,0.00011
162,198,WD 0553+053 (LHS 212),White Dwarf,15002,-23.89017886,-9.532503886,-4.384624922,0101000080624A03C3E2E337C0D0B96E59A41023C0C0DD941DDB8911C0,0.5,DAP9,26.0928,0.01,0.00011
163,199,WD 1334+039 (Gliese 518),White Dwarf,15003,10.08291658,-5.925780967,24.1874304,0101000080D6CABE0A742A2440D61802EDFFB317C0B5464E70FB2F3840,0.5,DA10,26.86655684,0.01,0.00011
164,200,WD 0435-088 (LHS 194),White Dwarf,15004,-23.34669601,-10.99733071,-17.18214942,01010000808B9AD811C15837C0307E7D21A2FE25C0A7E22958A12E31C0,0.5,DQ8,31.00380228,0.01,0.00011
